序号,正文,情感属性,情感分值
1,回复@东教授很忙:跟我有个几把关系？跟你有个几把关系？四万亿变三万亿也是该吃饺子的吃饺子，该吃米饭的吃米饭。而且投资四万亿用你家钱了？北京有个什么事？强拆报道出来了没？我告你孙子你说的是中国我说的也是中国，这就是中国。就像世界上所有的事一样，它好也坏，它有阳光也有黑暗。遍地圣人那他妈的事天堂//回复@猹大人:所以你的意思是国家现在是歌舞升平，太平盛世？ 去年北京事件全世界都知道，强拆案例报道得还少？现在国家负债累累，你对国家经济了解多少？懂不懂？我问你为什么4万亿美元外汇为何变成3万亿？前任主席的4万亿投资有多大效益？房地产泡沫你看不到？究竟是你跪太久爬不起来？还是你装着眼瞎？,负面,0.026277906
2,回复@女君子05:草民就不能发表言论？你有多贱？俗称“贱骨头”那一类的？[笑cry][笑cry]//回复@意净亦静:你知道的还真多，不过发表出来的言论不也挺弱智么？有句话说得好，没脑子的人看任何人任何事都没觉得别人没脑子，自己最聪明！回头不还是草民一个[哈哈][哈哈][哈哈],负面,0.003136311
3,回复@意净亦静:你知道的还真多，不过发表出来的言论不也挺弱智么？有句话说得好，没脑子的人看任何人任何事都没觉得别人没脑子，自己最聪明！回头不还是草民一个[哈哈][哈哈][哈哈]//回复@女君子05:我很好奇你是怎么从这贴的风凉话中得出别人有心理缺陷？没听说通过抱怨能获得快的，只知道以己度人倒是弱智的通病[笑而不语],负面,0.00207026
4,回复@猹大人:睁着眼说瞎话好玩？麻烦你就是给你主子维护说好话也拿出点实际证据好不？//回复@东教授很忙:兄弟，你说的这几句话说的幼稚的不行。还驱赶出界被抓起来……我现在怀疑你没读过历史书。,负面,0.004896762
5,回复@猹大人:所以你的意思是国家现在是歌舞升平，太平盛世？ 去年北京事件全世界都知道，强拆案例报道得还少？现在国家负债累累，你对国家经济了解多少？懂不懂？我问你为什么4万亿美元外汇为何变成3万亿？前任主席的4万亿投资有多大效益？房地产泡沫你看不到？究竟是你跪太久爬不起来？还是你装着眼瞎？//回复@东教授很忙:兄弟，你说的这几句话说的幼稚的不行。还驱赶出界被抓起来……我现在怀疑你没读过历史书。,负面,0.009914468
6,回复@东教授很忙:兄弟，你说的这几句话说的幼稚的不行。还驱赶出界被抓起来……我现在怀疑你没读过历史书。//回复@猹大人:那你就是自私自利，两耳不闻窗外事，各扫自家门前雪。天下兴亡匹夫有责。我问你，要所有人都想你这样想，有一天你的房子被强拆了，你的老板不给你发工资了，你的家人或者你自己被人欺负了，你突然成为DIDUAN人KOU被人赶出去了，你找谁伸冤？谁来帮助你？你闹事把你当神经病关起来。,负面,0.001630599
7,回复@东教授很忙:哪有人拦着你说了么？什么事什么话不让你说了？张嘴一个没有自由，你在这攻击国家不也活的挺好的？//回复@猹大人:我们国家的宪法是保护言论自由和新闻自由的。我们有获取信息和评论的权力。现在有人违宪违法，为什么我们不能说，凭什么我们不能说？,负面,0.005122769
8,回复@猹大人:我们国家的宪法是保护言论自由和新闻自由的。我们有获取信息和评论的权力。现在有人违宪违法，为什么我们不能说，凭什么我们不能说？//回复@东教授很忙:那什么是国家不让我看的？不让我看为什么我还要看？好奇心太重会害死人你知不知道？没有太多的人对你那一套自由，皿煮感兴趣。甚至还很厌烦。知道为什么么？因为你这一套东西正在慢慢摧毁太多人平静的生活。,负面,0.01473519
9,回复@猹大人:那你就是自私自利，两耳不闻窗外事，各扫自家门前雪。天下兴亡匹夫有责。我问你，要所有人都想你这样想，有一天你的房子被强拆了，你的老板不给你发工资了，你的家人或者你自己被人欺负了，你突然成为DIDUAN人KOU被人赶出去了，你找谁伸冤？谁来帮助你？你闹事把你当神经病关起来。//回复@东教授很忙:那什么是国家不让我看的？不让我看为什么我还要看？好奇心太重会害死人你知不知道？没有太多的人对你那一套自由，皿煮感兴趣。甚至还很厌烦。知道为什么么？因为你这一套东西正在慢慢摧毁太多人平静的生活。,负面,0.000791119
10,回复@东教授很忙:那什么是国家不让我看的？不让我看为什么我还要看？好奇心太重会害死人你知不知道？没有太多的人对你那一套自由，皿煮感兴趣。甚至还很厌烦。知道为什么么？因为你这一套东西正在慢慢摧毁太多人平静的生活。//回复@猹大人:自由就是杀人放火？可怜的娃锁在墙里只能看到国家想让你看到的东西。,负面,0.001442287
11,我们都是中国这一伙的。,中性,0.362190266
12,回复@奔19奔:自己国人不黑心会让外国抢商机么？//回复@陆大大Ol:太强大了，奶粉都抢到外国去了，精英都去拯救美帝了，,中性,0.428065507
13,回复@秋风1哥哥:[允悲][允悲][允悲][允悲][允悲]//回复@哇呜的精彩1994:华为系统是安卓的,中性,0.499928591
14,肉食者鄙，未能远谋…,中性,0.499642098
15,回复@__你们不知道我是谁:我就觉得奇怪了，你自己都在在美国，还让人滚去美国[二哈]//回复@东教授很忙:滚去你的美国卖菊花乖儿子,负面,0.002116477
16,回复@YoonAbeautiful:自由不是让你去做违法犯罪的事情。最起码我们宪法里面有写要保护言论自由的，再客观讲，你不用回复我，你觉得你自由吗？//回复@东教授很忙:你的自由不就是为所欲为吗,中性,0.418931084
17,回复@猹大人:自由就是杀人放火？可怜的娃锁在墙里只能看到国家想让你看到的东西。//回复@东教授很忙:你想要什么自由？杀人放火还是犯科作恶？,负面,0.000679754
18,回复@张峰Dream:人民的利益就是国家的利益！//回复@胡锡进:难道此时国家利益和人民利益是冲突的？,中性,0.497527058
19,回复@帕帕斯塔托普罗斯:其实就那几个人就可以了！不用8000万[阴险]//回复@胡锡进:如果可以请把8000万党员的资产总合和十几亿群众的资产总合做下比较，就知道是为了谁的利益而战了。。。,中性,0.489847434
20,回复@诸葛大司马:滚你个美分，去找美爹去吧，不送！//回复@YANGNJ:傻瓜,负面,0.024199435
21,回复@平淡创造不平凡:别把我们带进去.我们只关注自己的生活[微笑]//排除成见，一致对外，支持国家!因为关系到普通老百姓每个人的利益!,中性,0.629903764
22,农业国对工业国的制裁[喵喵],中性,0.499767366
23,回复@奔跑的Mr王:美狗对号入座了？//回复@Immortal量子玫瑰:为你智商捉急！！,负面,0.209681572
24,回复@Immortal量子玫瑰:为你智商捉急！！//回复@石市男子性刚烈:层主挺住，美狗真多,负面,0.209707145
25,回复@一颗巧克力2333:你的国？你什么事说了算？什么重大的事做修改以前问过你了？你以什么形式行使权力？别做梦了，你就是给国家干活、创造价值养活上头而已//回顾历史没有那个朝代崛起是和平的，，贸易战比起战争要付出的代价更能让人接受。加油，我的国[中国赞],中性,0.508620065
26,等全民医疗了再反美吧，我要去赚钱了,中性,0.471519208
27,回复@平淡创造不平凡:贸易战难道不是老百姓？忽悠谁呢。//排除成见，一致对外，支持国家!因为关系到普通老百姓每个人的利益!,负面,0.218476779
28,中国经济过度依赖美国市场所以美国才敢下手。,中性,0.498460539
29,胡老师你能呼吁下咱们的领导们尽快把房价医疗环境和孩子们的教育弄好吗？,中性,0.463581297
30,我是来看评论的，各类精分不少[doge],中性,0.499969189
31,@younihappy: 乘此机会把多年贱卖的稀土等稀有资源价格提起来（通过收储限量或者其他办法），以此威慑外围外围效仿小美@央视财经  @上海证券报  @财经网  @凤凰网财经,中性,0.451222615
32,加油，我的国[心],正面,0.999594191
33,回复@淡定必须再淡定:我只是个屁民！//回复@陈世鹏Love:你是老爷，大老爷[笑而不语],中性,0.492820229
34,在实力悬殊的时候，选择避让；在实力强大的时候选择超越，对于美国，我们已经没有一条折中的道路可以走，美利坚是一个伟大的国家，我们可以更加伟大！,中性,0.647427231
